1,i tell jokes on stage.,i date a lot of girls.
2,i tell jokes on stage.,i date a lot of girls.
3,i tell jokes on stage.,i date a lot of girls.
4,i enjoy eating to match my work out.," i eat healthy and do not eat cakes , candy or sweets."
5,i enjoy eating to match my work out.," i eat healthy and do not eat cakes , candy or sweets."
6,i enjoy eating to match my work out.," i eat healthy and do not eat cakes , candy or sweets."
7,i work as a scientist.,my parents were scientists.
8,i work as a scientist.,my parents were scientists.
9,i have my own salon.,i live on a boat.
10,i like steak.,apartment living was nice but it is time to move on.
11,i like steak.,apartment living was nice but it is time to move on.
12,i like steak.,apartment living was nice but it is time to move on.
13,i went past my masters and have higher qualifications in the books and letters of rome.,my sibling believes they are a buccaneer.
14,i went past my masters and have higher qualifications in the books and letters of rome.,my sibling believes they are a buccaneer.
15,i went past my masters and have higher qualifications in the books and letters of rome.,my sibling believes they are a buccaneer.
16,i am happy a lot of the time.," lina , my greyhound , is a source of constant affection."
17,i am happy a lot of the time.," lina , my greyhound , is a source of constant affection."
18,i am happy a lot of the time.," lina , my greyhound , is a source of constant affection."
19,i have a dog named socks.,dancing is my passion.
20,i would like to work for the smithsonian.,i hate winter and the cold.
21,i would like to work for the smithsonian.,i hate winter and the cold.
22,i would like to work for the smithsonian.,i hate winter and the cold.
23,i hate overtime.,i take care of people.
24,i hate overtime.,i take care of people.
25,i hate overtime.,i take care of people.
26,my canines stay at my residence alone when i travel to see family.,i own a car.
27,my canines stay at my residence alone when i travel to see family.,i own a car.
28,my canines stay at my residence alone when i travel to see family.,i own a car.
29,i am a woman.,we have a dog.
30,i try to keep active.,i am a server on the weekends.
31,i try to keep active.,i am a server on the weekends.
32,i try to keep active.,i am a server on the weekends.
33,i have a lot of kids.,i am making a scarf for my daughter.
34,i have a lot of kids.,i am making a scarf for my daughter.
35,i have a lot of kids.,i am making a scarf for my daughter.
36,i have a lot of kids.,i am making a scarf for my daughter.
37,i have a lot of kids.,i am making a scarf for my daughter.
38,i have a lot of kids.,i am making a scarf for my daughter.
39,dolls are fun to play with.,my child cannot see.
40,dolls are fun to play with.,my child cannot see.
41,dolls are fun to play with.,my child cannot see.
42,i am not a good artist.,i like soccer.
43,my mom is the best baker in my family.,i am in my second year of medical school.
44,i enjoy playing tennis.,my favorite place to go is the mall.
45,i enjoy playing tennis.,my favorite place to go is the mall.
46,i enjoy playing tennis.,my favorite place to go is the mall.
47,i really enjoy doing vocals with the band.,i am a parent twice both children are young.
48,i really enjoy doing vocals with the band.,i am a parent twice both children are young.
49,i really enjoy doing vocals with the band.,i am a parent twice both children are young.
50,i am a cat owner.,i love to travel.
51,i am a cat owner.,i love to travel.
52,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.
53,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.
54,i found my spouse at a musical performance by a boy band.,i have an older brother and an older sister.
55,i enjoy clothing with logos on it.,the temperature here is quite brisk and yet it is gorgeous after the thaw.
56,i enjoy clothing with logos on it.,the temperature here is quite brisk and yet it is gorgeous after the thaw.
57,i enjoy clothing with logos on it.,the temperature here is quite brisk and yet it is gorgeous after the thaw.
