0,i lost one of my parents a while ago.,it is difficult for me to connect to others.
1,i lost one of my parents a while ago.,it is difficult for me to connect to others.
2,i lost one of my parents a while ago.,it is difficult for me to connect to others.
3,i am a woman.,i have several children.
4,i am a woman.,i have several children.
5,i enjoy sitting in front of the tv.,i have a lot of kids.
6,i enjoy sitting in front of the tv.,i have a lot of kids.
7,i enjoy sitting in front of the tv.,i have a lot of kids.
8,i love my pets.,i am a educator.
9,i love my pets.,i am a educator.
10,i love my pets.,i am a educator.
11,lately i have been learning how to garden.,i am a musician with a day job.
12,lately i have been learning how to garden.,i am a musician with a day job.
13,lately i have been learning how to garden.,i am a musician with a day job.
14,i ride in a sporty vehicle.,my father has a job on an oil rig.
15,i ride in a sporty vehicle.,my father has a job on an oil rig.
16,i ride in a sporty vehicle.,my father has a job on an oil rig.
17,i have a lot of kids and pets.," diesels or gasoline , i can fix them all."
18,i have a lot of kids and pets.," diesels or gasoline , i can fix them all."
19,i have a lot of kids and pets.," diesels or gasoline , i can fix them all."
20,i have a lot of kids and pets.," diesels or gasoline , i can fix them all."
21,i have a lot of kids and pets.," diesels or gasoline , i can fix them all."
22,i have a lot of kids and pets.," diesels or gasoline , i can fix them all."
23,i live in the state by colorado.,my spouse works putting out fires.
24,i live in the state by colorado.,my spouse works putting out fires.
25,i live in the state by colorado.,my spouse works putting out fires.
26,my husband and i have 4 daughters and 1 son.,i hate seeing animals in pain.
27,my husband and i have 4 daughters and 1 son.,i hate seeing animals in pain.
28,my husband and i have 4 daughters and 1 son.,i hate seeing animals in pain.
29,i think posting pics on facebook of my everyday life is fun.,in the future i want to drive a large vehicle.
30,i think posting pics on facebook of my everyday life is fun.,in the future i want to drive a large vehicle.
31,i think posting pics on facebook of my everyday life is fun.,in the future i want to drive a large vehicle.
32,i like to go to the park.,i am stuck in a wheel chair.
33,i like to go to the park.,i am stuck in a wheel chair.
34,i like to go to the park.,i am stuck in a wheel chair.
35,i have a passion for politics.,i work at a candy store.
36,i love my girlfriend.,i dyed my hair pink.
37,i love my girlfriend.,i dyed my hair pink.
38,i enjoy peaceful sitting.,i avoid eating broccoli.
39,i enjoy peaceful sitting.,i avoid eating broccoli.
40,i enjoy peaceful sitting.,i avoid eating broccoli.
41,i dropped out of college a month ago.,i like basketball.
42,i dropped out of college a month ago.,i like basketball.
43,i dropped out of college a month ago.,i like basketball.
44,i volunteer at an animal shelter.,my child is now an adult.
45,i volunteer at an animal shelter.,my child is now an adult.
46,i volunteer at an animal shelter.,my child is now an adult.
47,i am a great cook.,i have a daughter.
48,i am a great cook.,i have a daughter.
49,i am a great cook.,i have a daughter.
50,i enjoy skateboarding and going skiing.,we had 5 felines but one had to go since it hated both of our mutts.
51,i enjoy skateboarding and going skiing.,we had 5 felines but one had to go since it hated both of our mutts.
52,i enjoy skateboarding and going skiing.,we had 5 felines but one had to go since it hated both of our mutts.
53,i am in college now and want to be a teacher.,i love fishing.
54,i am a ballet dancer.,my favorite food is hamburgers.
55,i am a ballet dancer.,my favorite food is hamburgers.
56,i am a ballet dancer.,my favorite food is hamburgers.
57,i have one pet.,my parents are very interesting.
58,i have one pet.,my parents are very interesting.
59,i have one pet.,my parents are very interesting.
60,reality programs with music and liveliness gets my heart racing.,i have a kitten with a sci fi name.
61,reality programs with music and liveliness gets my heart racing.,i have a kitten with a sci fi name.
62,reality programs with music and liveliness gets my heart racing.,i have a kitten with a sci fi name.
63,i enjoy simple but filling foods.,my favorite novel is about a who realizes he is a commander.
64,i enjoy simple but filling foods.,my favorite novel is about a who realizes he is a commander.
65,i enjoy simple but filling foods.,my favorite novel is about a who realizes he is a commander.
66,i like long walks on the beach.,my dad was a preacher.
67,i am a woman.,i own my own small marketing consulting agency.
68,i am a woman.,i own my own small marketing consulting agency.
69,i drive for work.,i am a driver for a local bakery.
70,i drive for work.,i am a driver for a local bakery.
71,i drive for work.,i am a driver for a local bakery.
72,i curate art.,i work in a lawyers firm.
73,i curate art.,i work in a lawyers firm.
74,i curate art.,i work in a lawyers firm.
75,i like to listen to country music.,i can play piano.
76,i like to listen to country music.,i can play piano.
77,i like to listen to country music.,i can play piano.
78,i have a job in a supermarket.,my spouse runs a car fixing business.
79,i have a job in a supermarket.,my spouse runs a car fixing business.
80,i have a job in a supermarket.,my spouse runs a car fixing business.
81,i enjoy spending time with my toes in the sand.,i like to celebrate with friends.
82,i enjoy spending time with my toes in the sand.,i like to celebrate with friends.
83,i enjoy spending time with my toes in the sand.,i like to celebrate with friends.
84,i enjoy spending time with my toes in the sand.,i like to celebrate with friends.
85,i enjoy spending time with my toes in the sand.,i like to celebrate with friends.
86,i enjoy spending time with my toes in the sand.,i like to celebrate with friends.
87,i have three great dogs.,my career is very important to me.
88,i have three great dogs.,my career is very important to me.
89,i have three great dogs.,my career is very important to me.
90,i hate cleaning.,i like books about trains.
91,i hate cleaning.,i like books about trains.
92,i hate cleaning.,i like books about trains.
93,i love my dog.,i am still in school.
94,i love my dog.,i am still in school.
95,i love my dog.,i am still in school.
96,i like football.,my favourite band is kings of leon.
97,i like football.,my favourite band is kings of leon.
98,i like football.,my favourite band is kings of leon.
99,i hate seeing animals in pain.,i try to keep active.
100,i hate seeing animals in pain.,i try to keep active.
101,i hate seeing animals in pain.,i try to keep active.
102,being a determined lady gets me far in life.,my job involves saving lives.
103,being a determined lady gets me far in life.,my job involves saving lives.
104,being a determined lady gets me far in life.,my job involves saving lives.
105,i like working with numbers.,my many siblings were a big part of my home life.
106,i like working with numbers.,my many siblings were a big part of my home life.
107,i like working with numbers.,my many siblings were a big part of my home life.
108,i workout every day.,i do not get to see my parents very often.
109,i workout every day.,i do not get to see my parents very often.
110,i workout every day.,i do not get to see my parents very often.
111,i really like all kinds of food but i prefer mexican.,i watch performing arts.
112,i really like all kinds of food but i prefer mexican.,i watch performing arts.
113,i really like all kinds of food but i prefer mexican.,i watch performing arts.
114,i like to move to the music.,i like the hue of the sky.
115,i like to move to the music.,i like the hue of the sky.
116,i like to move to the music.,i like the hue of the sky.
117," i am an artist , i work with watercolors.",i hate christmas.
118," i am an artist , i work with watercolors.",i hate christmas.
119," i am an artist , i work with watercolors.",i hate christmas.
120,i was a pilot a long time ago.,i read a lot of young adult fiction.
121,i was a pilot a long time ago.,i read a lot of young adult fiction.
122,i was a pilot a long time ago.,i read a lot of young adult fiction.
123,i have a very strong body.,i like historical films.
124,i have a very strong body.,i like historical films.
125,i have a very strong body.,i like historical films.
126,i watch kids.,i have always liked nice cars.
127,i watch kids.,i have always liked nice cars.
128,i watch kids.,i have always liked nice cars.
129,i read a lot of used books.,i like cats.
130,i read a lot of used books.,i like cats.
131,i go to the water and use my boat.,i bite my fingernails.
132,i go to the water and use my boat.,i bite my fingernails.
133,i go to the water and use my boat.,i bite my fingernails.
134,i work regular hours just like the guy next to me.,i never hope to stop working no matter how old i become.
135,i work regular hours just like the guy next to me.,i never hope to stop working no matter how old i become.
136,i work regular hours just like the guy next to me.,i never hope to stop working no matter how old i become.
137,i study to be a businessman.,i like to celebrate with friends.
138,i study to be a businessman.,i like to celebrate with friends.
139,i study to be a businessman.,i like to celebrate with friends.
140,i like the hue of the sky.,my dear ones are my biggest strength and weakness.
141,i like the hue of the sky.,my dear ones are my biggest strength and weakness.
142,i like the hue of the sky.,my dear ones are my biggest strength and weakness.
143,i like the hue of the sky.,my dear ones are my biggest strength and weakness.
144,i like the hue of the sky.,my dear ones are my biggest strength and weakness.
145,i like the hue of the sky.,my dear ones are my biggest strength and weakness.
146,my spouse runs a car fixing business.,i have a job in a supermarket.
147,my spouse runs a car fixing business.,i have a job in a supermarket.
148,my spouse runs a car fixing business.,i have a job in a supermarket.
149,i raise animals.,i help take care of pets.
150,i raise animals.,i help take care of pets.
151,i raise animals.,i help take care of pets.
152,i raise animals.,i help take care of pets.
153,i raise animals.,i help take care of pets.
154,i raise animals.,i help take care of pets.
155,the color of my locks in not natural.,i have no siblings.
156,the color of my locks in not natural.,i have no siblings.
157,the color of my locks in not natural.,i have no siblings.
158,i love to read.,i have a toddler.
159,i love to read.,i have a toddler.
160,i love to read.,i have a toddler.
161,i have a lot of pets.,i have tons of buddies.
162,i have a lot of pets.,i have tons of buddies.
163,i have a lot of pets.,i have tons of buddies.
164,i have a lot of pets.,i have tons of buddies.
165,i have a lot of pets.,i have tons of buddies.
166,i have a lot of pets.,i have tons of buddies.
167,i have lots of friends.,i do not like music.
168,i have lots of friends.,i do not like music.
169,i have lots of friends.,i do not like music.
170,desert is my favorite type of food.,i enjoy jogging.
171,desert is my favorite type of food.,i enjoy jogging.
