0   ,Losing a parent can cause a lot of stress.
1   ,I know I am affected by my parents dying when I was very young.
2   ,"I lost one of my parents a while ago and it's been very difficult to cope. To tell you the truth, I've always been a little shy but it's difficult for me to connect to others now more than ever."
3   ,I'm also a woman and I'm a mother. I have several children.
4   ,"Me too, do you have any children?"
5   ,I like to watch tv with my kids.
6   ,I like watching kids TV shows
7   ,I relax watching tv when I am not tending to the kids.
8   ,I work as a dog trainer.
9   ,I have pets in my classroom.  I am a teacher.
10  ,I used to be a pet groomer while I was a student.
11  ,I haven't had a lot of time in the past.
12  ,I love to garden and to play the piano.  I am a musician with a day job.
13  ,"I wish I had time for gardening, but I'm a musician, plus I have a day job."
14  ,I work on cars as a mechanic.
15  ,vehicles and machinery fascinate me
16  ,I have liked the idea of driving my own sports car but I would never have the money to do that.
17  ,"I have a lot of kids and pets so I need to work all the time to support them. But I'm good at my job as a mechanic—diesels or gasoline, I can fix all of them."
18  ,I have a rather large family that I support.  I do this by fixing diesel or gasoline engines.
19  ,I work as a mechanic to support my family.
20  ,My kids all went off to college so I have a lot of free time to work on my cars.
21  ,"I have a lot of kids and pets, which keeps me almost as busy as my job at the garage. So if you're ever having engine trouble, just bring your car in—diesels or gasoline, I can fix them all."
22  ,My kids help me work on cars.  I can fix diesel or gas engines.
23  ,"There are alot of fires in Colorodo right now, and my husband is a firefighter."
24  ,"Oh, wow, the western states have really had a problem with wildfires this summer.  My spouse works putting out fires."
25  ,there are a lot of forest fires in colorado
26  ,Our family adopted a dog from the streets.
27  ,They are all depressed about our sick puppy.
28  ,"I don't have any children myself, but  I hate seeing needy animals in pain, so the ones I foster from vet clinics end up feeling like family."
29  ,"The larger the vehicle someone drives, the more likes they get on facebook, so I'm hoping upgrading to a large vehicle will make me more popular online."
30  ,I love showing my life on social media.  One day I'll show off a pic of my new big truck
31  ,I post pictures of my car on Facebook.
32  ,The park is fun.  Being in a wheel chair makes me want to visit more parks with wide paths.
33  ,I love going to the park as well. I usually bring lunch and watch people as I am stuck in a wheel chair.
34  ,i wish i could go too. i'm immobile in a wheelchair...
35  ,But right now I just work
36  ,"My girlfriend loves Pink, the singer.  She has pink hair and that is why I dyed my hair pink."
37  ,I wanted to do something special for her and I know that she likes pink hair.
38  ,Sitting and just eating or drinking sometimes is the way to go in life.
39  ,I don't like foods that give me gas as it ruins the peace.
40  ,"For some reason eating broccoli always makes me anxious, and prevents me from feeling peaceful and relaxing."
41  ,I love to watch birds.
42  ,"That stinks, I'm sorry. I just got in on a basketball scholarship."
43  ,"I dropped out of college a month ago and I'm not sure what I'm going to do with my life, but I'll probably pursue an athletic career because I like basketball."
44  ,I used to work at a shelter when my son was younger.  He's an adult now.
45  ,Now that my child is older I have more time for volunteering.
46  ,"I've always wanted to do this kind of work, but was busy being a mom. But I have more time now because"
47  ,I'm not a great cook but I love cooking for my family. I have a son and a daughter.
48  ,I'm a great cook and have a daughter.
49  ,I met my wife working at the restaurant. We married and had a child.
50  ,"I wish I could do either of those things, but I do have other hobbies at least."
51  ,Usually I bring my dogs along with me.
52  ,"We leave our felines and mutts home alone together when we went out skiing on the slopes, so if they don't get long the house will get destroyed."
53  ,My teacher taught me how to fish.  I really love fishing.
54  ,"But I can only eat hamburgers when I'm not preparing for my dance classes, since I need to stay in shape when I'm dancing."
55  ,I burn off the hamburgers by dancing ballet.
56  ,"I could never be a ballet dancer because of my figure, which demonstrates that my favorite food is hamburgers."
57  ,My parents like to travel a lot so we don't want to have too many pets.
58  ,The most interesting thing about my parents is they have only one really exotic pet called a capybara.
59  ,My only pet is cool.  It is a snake my parents got me on their trip to Brazil.
60  ,I am more into sci-fi myself.
61  ,I watch shows with pets.
62  ,"I am more into science fictions programs.  I have a kitten names Spock, so I guess I have a kitten with a sci fi name."
63  ,I eat while I read.
64  ,"I always eat when I'm reading novels, and my favorite snacks are simple foods."
65  ,"I don't spend much time thinking about food, just whatever is quick so I can get back to my book."
66  ,My dad is a preacher and he used to certify weddings on the beach.
67  ,"I am also a woman, and I work in advertising. What do you do?"
68  ,I know a lot of women who run their own businesses.
69  ,I drive a small truck.
70  ,"Because I drive so much for work, I refuse to drive anywhere on my time off, whether it's to the store or shopping."
71  ,I drive so much to get to work.  All that driving made me decide to handle deliveries for my bakery job since I know the area.
72  ,"I curate art in my spare time on a volunteer basis. But to earn money, I work in a lawyer's firm."
73  ,I have a second job.
74  ,I have to buy an art piece for the lawyers firm that I work for.
75  ,I like to play my own music.
76  ,I like to play country songs on my piano.
77  ,"I prefer classical music, and play it on the piano"
78  ,"I don't work, but my spouse fixes cars for a living."
79  ,My husband is looking for a new job.
80  ,That must be interesting.  I am a teacher and my spouse runs a car fixing business.
81  ,"I enjoy spending time with my toes in the sand so I just got a lifeguard job, and my friends were so excited for me. They took me out for dinner to congratulate me and it was great because I like to celebrate with my friends."
82  ,"I like going to the beach and sitting in the sand, too, especially with my friends. Celebrating with my friends at the beach is always so much fun."
83  ,Having bonfires on the beach in the summer is one of my favorite activities.
84  ,I love going to the beach with friends.
85  ,"Yes, time on the beach.  That's where I party--I like to celebrate with friends."
86  ,"Last birthday I went with my friends to celebrate at the ocean, where we ran around the sand all day."
